"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean"
"sim.4.kcstat",8.671,178.583,30.829,18.29,4.549,734.143,4.953,2.032,5.349,NA,5.029,2.095,14.385,79.308,3.205,1.866,24.089,6.289,11.788,110.493,26.041,4.602,5.124,27.007,36.153,7.019,4.704,10.75,96,5.261,12.538,25.657,6.157,2.246,1.4,32.028,44.885,36.453,5.428,1.105,41.962
"ID.5",44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,63.5
"sCF.sim.5",97.54,93.1,88.93,67.69,29.15,41.77,55.66,73.43,59.19,100,65.74,66.01,81.65,63.26,33.88,73.79,25.46,88.15,92.01,18.83,98.41,68.87,66.97,73.3,94.45,89,2,12.17,67.17,69.29,80.49,86.06,61.81,22.3,80.18,78.49,93.09,32.89,77.92,86.5,66.415
"sDF1.sim.5",1.34,2.45,6.27,7.94,19.5,27.78,27.76,11.85,22.11,0,9.23,9.3,10.73,10.95,29.94,17.39,20.79,4.9,0.55,25.17,1.04,0,13.86,15.74,4.45,1.5,32,20,32.83,10,11.81,6.89,2.37,8.92,15.76,13.47,6.91,35.79,0,9.5,12.72
"sDF2.sim.5",1.12,4.46,4.8,24.37,51.36,30.45,16.58,14.72,18.7,0,25.03,24.69,7.62,25.79,36.18,8.82,52.75,6.95,7.43,20,0.54,31.13,19.17,10.96,1.1,6.5,1,23.83,0,20.71,7.7,7.06,35.82,68.78,4.06,8.04,0,31.32,22.08,0,17.041
"sN.5",6.48,8.26,13.98,11.57,7.15,9.86,7.94,8.98,6.41,6.4,6.62,6.76,9.8,7.96,9.48,9.84,3.05,5.24,5.59,1.35,11.8,2.94,12.24,18.58,13.22,1.55,0.4,0.76,1.97,16,25.47,6.39,3.74,2.27,4.8,12.71,9.75,3.63,5.51,1.11,7.689
"br.length.5",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.5.dnet",0.626,0.535,0.497,0.194,0.25,0.333,0.232,0.355,0.303,NA,0.197,0.201,0.406,0.202,0.353,0.292,0.288,0.48,0.445,0.336,0.633,NA,0.301,0.332,0.529,0.459,0.234,0.238,NA,0.253,0.384,0.488,0.06,0.225,0.289,0.354,NA,0.372,NA,NA,0.343
"sim.5.dtree",0.025,0.072,0.117,0.385,0.643,0.821,0.57,0.306,0.513,NA,0.413,0.409,0.202,0.45,0.937,0.302,0.609,0.126,0.083,0.795,0.016,NA,0.396,0.308,0.057,0.086,0.088,0.724,NA,0.363,0.216,0.15,0.472,0.37,0.22,0.241,NA,0.946,NA,NA,0.366
"sim.5.entrop",0.121,0.27,0.386,0.737,0.929,0.985,0.892,0.693,0.872,NA,0.767,0.765,0.547,0.802,0.997,0.676,0.921,0.404,0.272,0.895,0.083,NA,0.782,0.693,0.22,0.313,0.445,0.837,NA,0.738,0.568,0.456,0.686,0.735,0.545,0.603,NA,0.999,NA,NA,0.636
