"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean"
"sim.6.dstat",0.04,0.209,0.478,0.498,0.051,0.323,0.276,0.177,0.325,NA,0.358,0.027,0.585,0.678,0.185,0.087,0.227,0.176,1,0.376,0.596,1,0.081,0.042,0.344,0.568,0.568,1,NA,0.259,0.084,0.29,0.367,0.736,1,0.43,1,1,0.539,1,0.447
"sim.6.kcstat",347.154,31.197,8.513,1.333,8.428,1.801,2.484,2.189,4.89,NA,4.133,4.467,3.922,4.664,2.082,69.466,8.755,7.373,2.375,4.349,11.872,8.524,2.707,103.431,25.816,1.493,3.444,10.211,NA,3.085,50.687,28.545,2.739,3.932,37.76,7.495,6.843,2.879,2.548,27,22.647
"sCF.sim.7",90.86,92.13,94.19,37.47,34.81,56.29,75.33,53.17,77.53,97.29,17.82,62.22,90.43,50.74,40.48,75.06,67.37,81.25,96.05,54.4,84.75,91.85,62.54,85.45,93.22,77.04,22.92,53.67,90,65.75,80.04,61.94,59.77,37.2,93.14,48.64,89.96,17.83,92.68,34,67.182
"br.length.7",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.7.dnet",NA,0.512,0.53,0.267,0.333,0.284,0.357,0.315,0.295,NA,0.241,0.263,0.492,0.305,0.203,0.357,0.255,0.425,0.554,0.009,0.475,NA,0.288,0.481,0.549,0.397,NA,NA,NA,0.285,0.412,0.171,0.244,0.192,0.489,0.109,0.512,0.318,0.549,NA,0.348
"sim.7.dtree",NA,0.082,0.06,0.878,0.926,0.559,0.281,0.611,0.253,NA,0.354,0.466,0.101,0.654,0.835,0.285,0.39,0.207,0.04,0.591,0.165,NA,0.461,0.157,0.07,0.259,NA,NA,NA,0.413,0.222,0.47,0.504,0.812,0.071,0.691,0.106,0.469,0.076,NA,0.379
"sim.7.entrop",NA,0.296,0.23,0.979,0.995,0.897,0.662,0.924,0.606,NA,0.749,0.834,0.344,0.941,0.95,0.666,0.767,0.557,0.164,0.652,0.485,NA,0.835,0.469,0.267,0.635,NA,NA,NA,0.796,0.58,0.802,0.856,0.936,0.253,0.861,0.359,0.843,0.284,NA,0.651
"sim.7.icert",0.559,0.696,0.734,0,0.001,0.115,0.37,0.103,0.336,0.82,0.227,0.16,0.657,0.075,0,0.367,0.205,0.498,0.78,0.006,0.586,0.593,0.18,0.599,0.751,0.427,0.164,0.514,NA,0.211,0.472,0.103,0.125,0,0.676,0.005,0.677,0.197,0.746,0.69,0.37
"sim.7.binp",0.012,0.007,0,0.441,0.429,0.145,0.009,0.32,0.045,0.004,0.556,0.1,0,0.21,0.532,0.001,0.042,0.001,0.004,0.407,0.001,0.037,0.077,0,0,0.045,0.556,0.333,0.333,0.017,0,0.173,0.111,0.556,0.037,0.32,0,0.259,0.111,NA,0.16
"sim.7.dstat",1,0.343,0.538,0.228,0.1,0.118,0.147,0.038,0.442,1,0.348,0.211,0.294,0.063,0.374,0.14,0.306,0.08,0.777,0.978,0.01,1,0.146,0.016,0.189,0.056,1,1,NA,0.188,0.09,0.486,0.243,0.399,0.708,0.609,0.124,0.061,0.126,1,0.384
"sim.7.kcstat",9.941,33.163,29.76,1.108,1.299,7.186,17.854,17.123,7.176,35.9,5.646,5.943,30.979,8.923,1.027,18.383,5.621,48.413,31.143,1.209,482.562,11.27,8.524,340.391,70.68,51.719,2.752,8.479,NA,8.05,39.422,2.821,4.551,1.013,18.959,1.234,69,19.217,97.261,17,40.326
"sCF.sim.8",81.46,86.42,88.5,57.05,27,58.72,61.67,73.28,45.04,100,74.05,77.16,82.15,47.95,48.54,84.53,27.33,85.32,97.6,70.75,94.99,92.57,54.4,79.01,95.5,81.53,42.73,39.92,92.5,53.67,78.21,80.9,63.72,79.5,95.47,87.8,87.26,0.4,73.54,100,71.204
